#;Player;Pos;Club;Birthplace;Birthday;Age;MJ;Min;Goals
8;Marcos Acuña;DF,AT;1.es Sevilla;Zapala, Argentina;1991-10-28;31-023;6;373;0
16;Thiago Almada;MT;1.us Atlanta Utd;Argentina, Argentina;2001-04-26;21-208;1;7;0
9;Julián Álvarez;AT;1.eng Manchester City;Argentina, Argentina;2000-01-31;22-293;7;464;4
1;Franco Armani;GB;1.ar River Plate;Casilda, Argentina;1986-10-16;36-035;0;;
15;Ángel Correa;MT;1.es Atlético Madrid;Rosario, Argentina;1995-03-09;27-256;1;5;0
7;Rodrigo De Paul;MT;1.es Atlético Madrid;Sarandí, Argentina;1994-05-24;28-180;7;599;0
11;Ángel Di María;MT,AT;1.it Juventus;Rosario, Argentina;1988-02-14;34-279;5;288;1
21;Paulo Dybala;AT;1.it Roma;Laguna Larga, Argentina;1993-11-15;29-005;2;18;0
24;Enzo Fernández;MT;1.pt Benfica;Argentina, Argentina;2001-01-17;21-307;7;564;1
2;Juan Foyth;DF;1.es Villarreal;La Plata, Argentina;1998-01-12;24-312;1;5;0
17;Papu Gómez;MT,AT;1.es Sevilla;Buenos Aires, Argentina;1988-02-15;34-278;2;107;0
20;Alexis Mac Allister;MT;1.eng Brighton;Santa Rosa, Argentina;1998-12-24;23-331;6;550;1
23;Emiliano Martínez;GB;1.eng Aston Villa;Mar del Plata, Argentina;1992-09-02;30-079;7;690;0
22;Lautaro Martínez;AT;1.it Inter;Bahía Blanca, Argentina;1997-08-22;25-090;6;241;0
25;Lisandro Martínez;DF;1.eng Manchester Utd;Gualeguay, Argentina;1998-01-18;24-306;5;303;0
10;Lionel Messi;AT;1.fr Paris S-G;Rosario, Argentina;1987-06-24;35-149;7;690;7
26;Nahuel Molina;DF;1.es Atlético Madrid;Embalse, Argentina;1998-04-06;24-228;7;567;1
4;Gonzalo Montiel;DF,MT;1.es Sevilla;González Catán, Argentina;1997-01-01;25-323;4;118;0
19;Nicolás Otamendi;DF;1.pt Benfica;Buenos Aires, Argentina;1988-02-12;34-281;7;690;0
14;Exequiel Palacios;MT,DF;1.de Leverkusen;Famaillá, Argentina;1998-10-05;24-046;3;50;0
5;Leandro Paredes;MT;1.it Juventus;San Justo, Argentina;1994-06-29;28-144;5;225;0
6;Germán Pezzella;DF;1.es Betis;Bahía Blanca, Argentina;1991-06-27;31-146;3;60;0
18;Guido Rodríguez;MT;1.es Betis;Sáenz Peña, Argentina;1994-04-12;28-222;1;56;0
13;Cristian Romero;DF;1.eng Tottenham;Córdoba, Argentina;1998-04-27;24-207;7;547;0
12;Gerónimo Rulli;GB;1.es Villarreal;La Plata, Argentina;1992-05-20;30-184;0;;
3;Nicolás Tagliafico;DF;1.fr Lyon;Buenos Aires, Argentina;1992-08-31;30-081;6;373;
