#;Player;Pos;Club;Birthplace;Birthday;Age;MJ;Min;Goals
21;Salis Abdul Samed;MT;1.fr Lens;Accra, Ghana;2000-03-26;22-239;3;250;0
13;Daniel Afriyie Barnieh;AT;1.gh Accra Hearts of Oak SC;Kumasi, Ghana;2001-06-26;21-147;0;;
15;Joseph Aidoo;DF;1.es Celta Vigo;Accra, Ghana;1995-09-29;27-052;0;;
18;Daniel Amartey;DF;1.eng Leicester City;Accra, Ghana;1994-12-21;27-334;3;251;0
1;Lawrence Ati-Zigi;GB;1.ch St. Gallen;Accra, Ghana;1996-11-29;25-356;3;270;0
10;André Ayew;MT,AT;1.qa Al Sadd SC;Seclin, France;1989-12-17;32-338;3;198;1
9;Jordan Ayew;AT;1.eng Crystal Palace;Marseille, France;1991-09-11;31-070;3;136;0
11;Osman Bukari;MT;1.rs Red Star;Accra, Ghana;1998-12-13;23-342;2;59;1
23;Alexander Djiku;DF,AT;1.fr Strasbourg;Montpellier, France;1994-08-09;28-103;2;97;0
7;Abdul Fatawu Issahaku;AT;1.pt Sporting CP;Tamale, Ghana;2004-03-08;18-257;1;1;0
12;Danlad Ibrahim;GB;1.gh Asante Kotoko SC;Accra, Ghana;2002-12-02;19-353;0;;
8;Daniel Kyereh;MT,DF;1.de Freiburg;Accra, Ghana;1996-03-08;26-257;3;33;0
2;Tariq Lamptey;DF;1.eng Brighton;Hillingdon, Angleterre, Royaume-Uni;2000-09-30;22-051;2;102;0
14;Gideon Mensah;DF;1.fr Auxerre;Accra, Ghana;1998-07-18;24-125;1;87;0
20;Kudus Mohammed;AT,MT;1.nl Ajax;Accra, Ghana;2000-08-02;22-110;3;247;2
16;Manaf Nurudeen;GB;1.be Eupen;Accra, Ghana;1999-02-08;23-285;0;;
3;Denis Odoi;DF;1.be Club Brugge;Leuven, Belgium;1988-05-27;34-177;1;13;0
6;Elisha Owusu;MT;1.be Gent;Montreuil, France;1997-11-07;25-013;0;;
5;Thomas Partey;MT;1.eng Arsenal;Odumase Krobo, Ghana;1993-06-13;29-160;3;270;0
17;Baba Rahman;DF;2.eng Reading;Tamale, Ghana;1994-07-02;28-141;3;183;0
4;Mohammed Salisu;DF;1.eng Southampton;Benin, Benin;1999-04-17;23-217;3;270;1
26;Alidu Seidu;DF;1.fr Clermont Foot;Accra, Ghana;2000-06-04;22-169;2;155;0
25;Antoine Semenyo;AT,MT;2.eng Bristol City;London, Angleterre, Royaume-Uni;2000-01-07;22-317;2;20;0
24;Kamal Sowah;AT,MT;1.be Club Brugge;Accra, Ghana;2000-01-09;22-315;0;;
22;Kamaldeen Sulemana;AT;1.fr Rennes;Techiman, Ghana;2002-02-15;20-278;2;58;0
19;Iñaki Williams;AT;1.es Athletic Club;Bilbao, Spain;1994-06-15;28-158;3;270;0
