#;Player;Pos;Club;Birthplace;Birthday;Age;MJ;Min;Goals
14;Zakaria Aboukhlal;AT,MT;1.fr Toulouse;Rotterdam, Netherlands;2000-02-18;22-275;4;79;1
5;Nayef Aguerd;DF;1.eng West Ham;Kenitra, Morocco;1996-03-30;26-235;4;353;0
15;Selim Amallah;MT;1.be Standard Liège;Hautrage, Belgium;1996-11-15;26-005;7;409;0
4;Sofyan Amrabat;MT;1.it Fiorentina;Gemeente Huizen, Netherlands;1996-08-21;26-091;7;660;0
25;Yahya Attiat Allah;DF;1.ma Wydad Casablanca;Safi, Morocco;1995-03-02;27-263;6;318;0
24;Badr Banoun;DF;1.qa Qatar SC;Casablanca, Morocco;1993-09-30;29-051;3;54;0
17;Sofiane Boufal;AT;1.fr Angers;Paris, France;1993-09-17;29-064;7;475;0
1;Yassine Bounou;GB;1.es Sevilla;Montréal, QC, Canada;1991-04-05;31-229;6;570;0
13;Ilias Chair;MT;2.eng QPR;Brugge, Belgium;1997-10-30;25-021;1;45;0
21;Walid Cheddira;AT;2.it Bari;Loreto, Italy;1998-01-22;24-302;2;64;0
20;Achraf Dari;DF;1.fr Brest;Casablanca, Morocco;1999-05-06;23-198;3;187;1
19;Youssef En-Nesyri;AT;1.es Sevilla;Fes-Medina, Morocco;1997-06-01;25-172;7;542;2
16;Abdessamad Ezzalzouli;AT,MT;1.es Osasuna;Beni Mellal, Morocco;2001-12-17;20-338;3;93;0
2;Achraf Hakimi;DF;1.fr Paris S-G;Getafe, Spain;1998-11-04;24-016;7;631;0
9;Abderrazak Hamdallah;AT;1.sa Al-Ittihad;Safi, Morocco;1990-12-17;31-338;4;68;0
26;Yahya Jabrane;MT;1.ma Wydad Casablanca;Settat, Morocco;1991-06-18;31-155;2;15;0
23;Bilal El Khannous;MT;1.be Genk;Strombeek-Bever, Belgium;2004-05-10;18-194;1;55;0
3;Noussair Mazraoui;DF;1.de Bayern Munich;Leiderdorp, Netherlands;1997-11-14;25-006;5;365;0
12;Munir;GB;1.sa Al-Wehda;Spain;1989-05-10;33-194;1;90;0
8;Azzedine Ounahi;MT;1.fr Angers;Casablanca, Morocco;2000-04-19;22-215;7;568;0
22;Ahmed Reda Tagnaouti;GB;1.ma Wydad Casablanca;Casablanca, Morocco;1996-04-05;26-229;0;;
11;Abdelhamid Sabiri;MT;1.it Sampdoria;Goulmima, Morocco;1996-11-28;25-357;5;181;0
6;Romain Saïss;DF;1.tr Beşiktaş;Bourg-de-Péage, France;1990-03-26;32-239;6;466;1
18;Jawad El Yamiq;DF;1.es Valladolid;Khouribga, Morocco;1992-02-29;30-264;6;309;0
10;Anass Zaroury;AT;2.eng Burnley;Mechelen, Belgium;2000-11-07;22-013;1;27;0
7;Hakim Ziyech;AT;1.eng Chelsea;Gemeente Dronten, Netherlands;1993-03-19;29-246;7;635;1
