#;Player;Pos;Club;Birthplace;Birthday;Age;MJ;Min;Goals
4;Pape Abou Cissé;DF;1.gr Olympiacos;Pikine, Senegal;1995-09-14;27-067;3;105;0
12;Fodé Ballo-Touré;DF;1.it Milan;Conflans-Sainte-Honorine, France;1997-01-03;25-321;1;7;0
11;Pathé Ciss;MT;1.es Rayo Vallecano;Dakar, Senegal;1994-03-16;28-249;3;146;0
9;Boulaye Dia;AT;1.it Salernitana;Oyonnax, France;1996-11-16;26-004;4;318;1
22;Abdou Diallo;DF;1.de RB Leipzig;Tours, France;1996-05-04;26-200;4;331;0
15;Krépin Diatta;AT,MT;1.fr Monaco;Dakar, Senegal;1999-02-25;23-268;3;181;0
19;Famara Diedhiou;AT;1.tr Alanyaspor;Saint-Louis, Senegal;1992-12-15;29-340;2;92;1
20;Bamba Dieng;AT;1.fr Marseille;Pikine, Senegal;2000-03-23;22-242;4;100;1
1;Seny Dieng;GB;2.eng QPR;Zürich, Switzerland;1994-11-23;27-362;0;;
5;Idrissa Gana Gueye;MT;1.eng Everton;Dakar, Senegal;1989-09-26;33-055;3;270;0
23;Alfred Gomis;GB;1.fr Rennes;Ziguinchor, Senegal;1993-09-05;29-076;0;;
26;Pape Gueye;MT;1.fr Marseille;Montreuil, France;1999-01-24;23-300;3;153;0
7;Nicolas Jackson;AT;1.es Villarreal;Banjul, Gambia;2001-06-20;21-153;1;17;0
14;Ismail Jakobs;DF;1.fr Monaco;Köln, Germany;1999-08-17;23-095;4;278;0
3;Kalidou Koulibaly;DF;1.eng Chelsea;Saint-Dié-des-Vosges, France;1991-06-20;31-153;4;360;1
8;Cheikhou Kouyaté;MT;1.eng Nott'ham Forest;Dakar, Senegal;1989-12-21;32-334;1;72;0
25;Mamadou Loum;MT;2.eng Reading;Dakar, Senegal;1996-12-30;25-325;0;;
17;Pape Matar Sarr;MT;1.eng Tottenham;Thiaroye, Senegal;2002-09-14;20-067;2;59;0
16;Edouard Mendy;GB;1.eng Chelsea;Montivilliers, France;1992-03-01;30-264;4;360;0
2;Formose Mendy;DF;2.fr Amiens;Dakar, Senegal;2001-01-02;21-322;0;;
6;Nampalys Mendy;MT;1.eng Leicester City;La Seyne-sur-Mer, France;1992-06-23;30-150;4;272;0
10;Moussa N'Diaye;DF;1.be Anderlecht;Dakar, Senegal;2002-06-18;20-155;0;;
24;Moustapha Name;MT;1.cy Pafos FC;Dakar, Senegal;1995-05-05;27-199;0;;
13;Iliman Ndiaye;AT,MT;2.eng Sheffield Utd;Rouen, France;2000-03-06;22-259;3;135;0
21;Youssouf Sabaly;DF;1.es Betis;Le Chesnay, France;1993-03-05;29-260;4;360;0
18;Ismaila Sarr;AT,MT;2.eng Watford;Saint-Louis, Senegal;1998-02-25;24-268;4;344;1
