#;Player;Pos;Club;Birthplace;Birthday;Age;MJ;Min;Goals
3;Borna Barišić;DF;1.sct Rangers;Grad Osijek, Croatia;1992-11-10;30-010;1;120;0
11;Marcelo Brozović;MT;1.it Inter;Zagreb, Croatia;1992-11-16;30-004;6;552;0
17;Ante Budimir;AT;1.es Osasuna;Zenica, Bosnia and Herzegovina;1991-07-22;31-121;2;55;0
5;Martin Erlic;DF;1.it Sassuolo;Zadar, Croatia;1998-01-24;24-300;0;;
12;Ivo Grbić;GB;1.es Atlético Madrid;Grad Split, Croatia;1996-01-18;26-306;0;;
20;Joško Gvardiol;DF;1.de RB Leipzig;Zagreb, Croatia;2002-01-23;20-301;7;690;1
23;Ivica Ivušić;GB;1.hr Osijek;Grad Rijeka, Croatia;1995-02-01;27-292;0;;
26;Kristijan Jakić;AT;1.de Eint Frankfurt;Grad Split, Croatia;1997-05-14;25-190;1;1;0
22;Josip Juranović;DF;1.sct Celtic;Zagreb, Croatia;1995-08-16;27-096;6;600;0
8;Mateo Kovačić;MT;1.eng Chelsea;Linz, Austria;1994-05-06;28-198;7;635;0
9;Andrej Kramarić;AT,MT;1.de Hoffenheim;Zagreb, Croatia;1991-06-19;31-154;7;474;2
14;Marko Livaja;AT;1.hr Hajduk Split;Grad Split, Croatia;1993-08-26;29-086;6;241;1
1;Dominik Livaković;GB;1.hr Dinamo Zagreb;Zadar, Croatia;1995-01-09;27-315;7;690;0
6;Dejan Lovren;DF;1.ru Zenit;Zenica, Bosnia and Herzegovina;1989-07-05;33-138;6;600;0
7;Lovro Majer;MT,AT;1.fr Rennes;Zagreb, Croatia;1998-01-17;24-307;7;130;1
10;Luka Modrić;MT;1.es Real Madrid;Zadar, Croatia;1985-09-09;37-072;7;653;0
18;Mislav Oršić;AT;1.hr Dinamo Zagreb;Zagreb, Croatia;1992-12-29;29-326;6;162;1
15;Mario Pašalić;AT,MT;1.it Atalanta;Mainz, Germany;1995-02-09;27-284;7;271;0
4;Ivan Perišić;AT,DF;1.eng Tottenham;Grad Split, Croatia;1989-02-02;33-291;7;669;1
16;Bruno Petković;AT;1.hr Dinamo Zagreb;Metković, Croatia;1994-09-16;28-065;6;234;1
19;Borna Sosa;DF;1.de Stuttgart;Zagreb, Croatia;1998-01-21;24-303;5;424;0
2;Josip Stanišić;DF;1.de Bayern Munich;München, Germany;2000-04-02;22-232;1;90;0
25;Luka Sučić;MT;1.at RB Salzburg;Linz, Austria;2002-09-08;20-073;0;;
24;Josip Šutalo;DF;1.hr Dinamo Zagreb;Čapljina, Bosnia and Herzegovina;2000-02-28;22-265;1;90;0
21;Domagoj Vida;DF,MT;1.gr AEK Athens;Grad Osijek, Croatia;1989-04-29;33-205;0;;
13;Nikola Vlašić;AT,MT;1.it Torino;Grad Split, Croatia;1997-10-04;25-047;6;209;
