#;Player;Pos;Club;Birthplace;Birthday;Age;MJ;Min;Goals
23;Alphonse Areola;GB;1.eng West Ham;Paris, France;1993-02-27;29-266;0;;
25;Eduardo Camavinga;DF;1.es Real Madrid;Cabinda, Angola;2002-11-10;20-010;2;140;0
20;Kingsley Coman;AT,MT;1.de Bayern Munich;Paris, France;1996-06-13;26-160;6;169;0
11;Ousmane Dembélé;AT;1.es Barcelona;Vernon, France;1997-05-15;25-189;7;433;0
3;Axel Disasi;DF;1.fr Monaco;Gonesse, France;1998-03-11;24-254;3;92;0
13;Youssouf Fofana;MT;1.fr Monaco;Paris, France;1999-01-10;23-314;6;227;0
9;Olivier Giroud;AT;1.it Milan;Chambéry, France;1986-09-30;36-051;6;419;4
7;Antoine Griezmann;MT;1.es Atlético Madrid;Mâcon, France;1991-03-21;31-244;7;537;0
6;Mattéo Guendouzi;AT,MT;1.fr Marseille;Poissy, France;1999-04-14;23-220;1;78;0
21;Lucas Hernández;DF;1.de Bayern Munich;Marseille, France;1996-02-14;26-279;1;12;0
22;Theo Hernández;DF;1.it Milan;Marseille, France;1997-10-06;25-045;6;508;1
12;Randal Kolo Muani;AT;1.de Eint Frankfurt;Bondy, France;1998-12-05;23-350;3;182;1
24;Ibrahima Konaté;DF;1.eng Liverpool;Paris, France;1999-05-25;23-179;5;294;0
5;Jules Koundé;DF;1.es Barcelona;Paris, France;1998-11-12;24-008;6;480;0
1;Hugo Lloris;GB;1.eng Tottenham;Nice, France;1986-12-26;35-329;6;570;0
16;Steve Mandanda;GB;1.fr Rennes;Kinshasa, Congo DR;1985-03-28;37-237;1;90;0
10;Kylian Mbappé;AT;1.fr Paris S-G;Paris 19 Buttes-Chaumont, France;1998-12-20;23-335;7;598;8
2;Benjamin Pavard;DF;1.de Bayern Munich;Maubeuge, France;1996-03-28;26-237;1;88;0
14;Adrien Rabiot;MT;1.it Juventus;Saint-Maurice, France;1995-04-03;27-231;6;483;1
17;William Saliba;DF;1.eng Arsenal;Bondy, France;2001-03-24;21-241;1;28;0
8;Aurélien Tchouaméni;MT;1.es Real Madrid;Rouen, France;2000-01-27;22-297;7;621;1
26;Marcus Thuram;AT,MT;1.de M'Gladbach;Provincia di Parma, Italy;1997-08-06;25-106;5;151;0
18;Dayot Upamecano;DF;1.de Bayern Munich;Évreux, France;1998-10-27;24-024;5;480;0
4;Raphaël Varane;DF;1.eng Manchester Utd;Lille, France;1993-04-25;29-209;6;518;0
15;Jordan Veretout;MT;1.fr Marseille;Ancenis, France;1993-03-01;29-264;1;62;
